1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;201901;44,4;201901;-0,0055;201901;163,677;
;202502;50,4;202502;-0,004;202502;163,666;
;201804;10,8;201804;-0,008;201804;163,689;
;201803;24,9;201803;-0,006;201803;163,713;
;201802;32,1;201802;-0,006;201802;163,655;
;201801;22,2;201801;-0,0045;201801;163,672;
;201704;42,8;201704;-0,002;201704;163,73;
;201703;42,7;201703;-0,007;201703;163,702;
;201702;41,8;201702;-0,0075;201702;163,73;
;201701;45,6;201701;-0,005;201701;163,682;
;201604;6,32;201604;-0,003;201604;163,715;
;201603;8,22;201603;-0,004;201603;163,674;
;201602;25;201602;-0,0025;201602;163,709;
;201601;38,3;201601;-0,003;201601;163,67;
;201504;26,6;201504;-0,0005;201504;163,675;
;201503;29,5;201503;-0,0015;201503;163,661;
;201502;56,7;201502;-0,0025;201502;163,661;
;201404;34;201404;-0,002;201404;163,672;
;201403;22,7;201403;0,001;201403;163,669;
;201402;34,4;201402;-0,0015;201402;163,662;
;201401;33,3;201401;-0,0025;201401;163,653;
;201304;54,6;201304;0,008;201304;163,663;
;201303;41,9;201303;0,002;201303;163,66;
;201302;49,4;201302;0,0005;201302;163,701;
;201301;55,1;201301;0,0025;201301;163,667;
;201202;44,2;201202;-0,001;201202;163,662;
;201201;46,9;201201;0,005;201201;163,654;
;201104;42,3;201104;0,005;201104;163,714;
;201103;45,6;201103;0,0055;201103;163,652;
;201102;35,9;201102;0,0095;201102;163,656;
;201101;21,4;201101;0,0065;201101;163,654;
;202101;38,7;202101;-0,002;202101;163,662;
;201004;24,1;201004;-0,0035;201004;163,639;
;201003;17;201003;-0,003;201003;163,629;
;201002;45,8;201002;-0,0045;201002;163,646;
;201001;20,5;201001;-0,006;201001;163,637;
;200904;50,5;200904;-0,0085;200904;163,646;
;200903;25,1;200903;-0,0085;200903;163,633;
;200902;52,5;200902;-0,003;200902;163,645;
;200901;21,6;200901;-0,005;200901;163,639;
;200804;44,7;200804;-0,003;200804;163,634;
;202004;44;202004;-0,008;202004;163,646;
;200803;24;200803;-0,0025;200803;163,629;
;200802;36,6;200802;-0,0055;200802;163,628;
;200801;28,2;200801;-0,002;200801;163,58;
;200704;13,9;200704;-0,005;200704;163,629;
;200703;55,1;200703;-0,0075;200703;163,629;
;200702;35,6;200702;-0,0025;200702;163,692;
;200701;6,31;200701;-0,0005;200701;163,656;
;200604;38;200604;-0,006;200604;163,644;
;200603;7,72;200603;-0,0025;200603;163,689;
;200602;22,5;200602;-0,0015;200602;163,678;
;200601;7,31;200601;0;200601;163,694;
;201501;23,6;201501;-0,005;201501;163,653;
;200501;49,6;200501;0,003;200501;163,675;
;200503;45,5;200503;0;200503;163,659;
;200502;48,7;200502;-0,001;200502;163,673;
;200504;39,1;200504;-0,0005;200504;163,648;
;200404;18,4;200404;-0,002;200404;163,659;
;200403;32;200403;-0,0005;200403;163,665;
